Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0013442,2023-06-08,2023-06-08,,"Nosferatu, eine Symphonie des Grauens",https://www.imdb.com/title/tt0013442/,movie,7.9,94,1922,"Fantasy, Horror",101737,1922-02-16,F.W. Murnau,,
2,tt0079641,2023-06-08,2023-06-08,,Nosferatu - Phantom der Nacht,https://www.imdb.com/title/tt0079641/,movie,7.4,107,1979,"Drama, Horror",38612,1979-01-17,Werner Herzog,,
3,tt0103874,2023-06-08,2023-06-08,,Bram Stoker's Dracula,https://www.imdb.com/title/tt0103874/,movie,7.4,128,1992,"Drama, Fantasy, Horror, Romance",228083,1992-11-10,Francis Ford Coppola,,
4,tt0021814,2023-06-08,2023-06-08,,Dracula,https://www.imdb.com/title/tt0021814/,movie,7.4,75,1931,"Drama, Fantasy, Horror",55749,1931-02-09,"Karl Freund, Tod Browning",,
5,tt0829150,2023-06-08,2023-06-08,,Dracula Untold,https://www.imdb.com/title/tt0829150/,movie,6.2,92,2014,"Action, Drama, Fantasy, Horror",202742,2014-09-30,Gary Shore,,
6,tt9139220,2023-06-08,2023-06-08,,Dracula,https://www.imdb.com/title/tt9139220/,tvMiniSeries,6.8,270,2020,"Action, Drama, Fantasy, Horror, Thriller",50685,2020-01-01,,,
7,tt0079073,2023-06-08,2023-06-08,,Dracula,https://www.imdb.com/title/tt0079073/,movie,6.5,109,1979,"Drama, Horror, Romance",10630,1979-07-13,John Badham,,
8,tt0051554,2023-06-08,2023-06-08,,Dracula,https://www.imdb.com/title/tt0051554/,movie,7.2,82,1958,"Drama, Horror",26675,1958-05-08,Terence Fisher,,
9,tt0075882,2023-06-08,2023-06-08,,Count Dracula,https://www.imdb.com/title/tt0075882/,tvMovie,7.3,150,1977,"Drama, Horror",1690,1977-12-22,Philip Saville,,
10,tt0070003,2023-06-08,2023-06-08,,Dracula,https://www.imdb.com/title/tt0070003/,tvMovie,6.1,98,1974,"Drama, Horror",2453,1974-02-08,Dan Curtis,,
11,tt0338526,2023-06-08,2023-06-08,,Van Helsing,https://www.imdb.com/title/tt0338526/,movie,6.0,131,2004,"Action, Adventure, Fantasy, Thriller",277111,2004-05-03,Stephen Sommers,,
12,tt2326554,2023-06-08,2023-06-08,,A Girl Walks Home Alone at Night,https://www.imdb.com/title/tt2326554/,movie,6.9,101,2014,"Drama, Horror, Romance, Thriller",37377,2014-01-19,Ana Lily Amirpour,,
