code	year	title	description	rating
tt0013442	1922	Nosferatu	Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.	Not Rated
tt0079641	1979	Nosferatu the Vampyre	Count Dracula moves from Transylvania to Wismar, spreading the Black Plague across the land. Only a woman pure of heart can bring an end to his reign of horror.	PG
tt0103874	1992	Bram Stoker's Dracula	The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.	R
tt0021814	1931	Dracula	Transylvanian vampire Count Dracula bends a naive real estate agent to his will, then takes up residence at a London estate where he sleeps in his coffin by day and searches for potential victims by night.	Passed
tt0829150	2014	Dracula Untold	As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom.	PG-13
tt9139220	2020	Dracula	In 1897 Transylvania, the blood-drinking Count draws his plans against Victorian London.	TV-14
tt0079073	1979	Dracula	In 1913, the charming, seductive and sinister vampire Count Dracula travels to England in search of an immortal bride.	R
tt0051554	1958	Horror of Dracula	Jonathan Harker rouses the ire of Count Dracula after he accepts a job at the vampire's castle under false pretenses. Harker's friend, Dr. Van Helsing, then embarks on a hunt for the predatory villain when he targets Harker's loved ones.	Not Rated
tt0075882	1977 TV Movie	Count Dracula	The vampire count leaves his Transylvanian home to wreak havoc across the world.	TV-PG
tt0070003	1974 TV Movie	Dracula	Dracula is searching for a woman who looks like his long dead wife.	TV-14
tt0338526	2004	Van Helsing	The famed monster hunter is sent to Transylvania to stop Count Dracula, who is using Dr. Frankenstein's research and a werewolf for nefarious purposes.	PG-13
tt2326554	2014	A Girl Walks Home Alone at Night	In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.	Not Rated
